title,descriptions,price,image
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 37 000,https://im.mashina.kg/tachka/images//3/d/4/3d47662e756de698e65df053dff51162_240x180.jpg
Mercedes-Benz GLS-класс,"внедорожник 5 дв., бензин",$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., бензин",$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg
Lexus LX,"внедорожник 5 дв., бензин",$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg
Toyota Land Cruiser Prado,"внедорожник 5 дв., бензин",$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg
Toyota Prius,"хэтчбек 5 дв., гибрид",$ 13 500,https://im.mashina.kg/tachka/images//f/4/e/f4ee82babd1bc638037d9d99349e8999_240x180.jpg
Toyota Avalon,"седан, гибрид",$ 24 000,https://im.mashina.kg/tachka/images//3/b/e/3be4552720a345402338a7ba7d1fc9ec_240x180.jpg
Toyota Camry,"седан, бензин",$ 42 000,https://im.mashina.kg/tachka/images//7/9/7/797bb971735bf04cf87167fdb7f21e10_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 24 800,https://im.mashina.kg/tachka/images//e/f/3/ef3f145af18da46a34ba0ed7027bf607_240x180.jpg
Toyota Camry,"седан, бензин",$ 25 000,https://im.mashina.kg/tachka/images//c/a/d/cadb887b6d3db24bbc9fee8c9c992f02_240x180.jpg
Lexus ES,"седан, гибрид",$ 31 500,https://im.mashina.kg/tachka/images//4/0/d/40db90356ec8c6db5a797cdaed9a50bf_240x180.jpg
Volkswagen Vento,"седан, бензин",$ 2 893,https://im.mashina.kg/tachka/images//8/f/a/8fae1dd66243b2bd8076d16608657034_240x180.jpg
Toyota Camry,"седан, бензин",$ 26 500,https://im.mashina.kg/tachka/images//c/0/8/c08ed8cc3cf32229f4af5c0684b48cc9_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 31 000,https://im.mashina.kg/tachka/images//c/2/7/c2740e13e34db1028022edffdf5de5a5_240x180.jpg
BMW X5,"внедорожник 5 дв., дизель",$ 9 600,https://im.mashina.kg/tachka/images//2/7/b/27bc9f13661bbcdc6e748ad0bb2c1637_240x180.jpg
Kia K7,"седан, бензин",$ 15 800,https://im.mashina.kg/tachka/images//e/1/0/e107c1deec8fc79f6258b191899ae602_240x180.jpg
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 22 300,https://im.mashina.kg/tachka/images//d/d/5/dd5d4667308b1586769b49bbb0e63e2e_240x180.jpg
Mercedes-Benz E-класс,"седан, бензин",$ 9 500,https://im.mashina.kg/tachka/images//f/8/e/f8eaf1788b54972f341a8e666c9270ee_240x180.jpg
Hyundai Sonata,"седан, бензин",$ 13 000,https://im.mashina.kg/tachka/images//2/c/9/2c986f9d0d06e256770536b92a55268c_240x180.jpg
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 37 000,https://im.mashina.kg/tachka/images//3/d/4/3d47662e756de698e65df053dff51162_240x180.jpg
Mercedes-Benz GLS-класс,"внедорожник 5 дв., бензин",$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., бензин",$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg
Lexus LX,"внедорожник 5 дв., бензин",$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg
Toyota Land Cruiser Prado,"внедорожник 5 дв., бензин",$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg
Toyota Prius,"хэтчбек 5 дв., гибрид",$ 13 500,https://im.mashina.kg/tachka/images//f/4/e/f4ee82babd1bc638037d9d99349e8999_240x180.jpg
Toyota Avalon,"седан, гибрид",$ 24 000,https://im.mashina.kg/tachka/images//3/b/e/3be4552720a345402338a7ba7d1fc9ec_240x180.jpg
Toyota Camry,"седан, бензин",$ 42 000,https://im.mashina.kg/tachka/images//7/9/7/797bb971735bf04cf87167fdb7f21e10_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 24 800,https://im.mashina.kg/tachka/images//e/f/3/ef3f145af18da46a34ba0ed7027bf607_240x180.jpg
Toyota Camry,"седан, бензин",$ 25 000,https://im.mashina.kg/tachka/images//c/a/d/cadb887b6d3db24bbc9fee8c9c992f02_240x180.jpg
Lexus ES,"седан, гибрид",$ 31 500,https://im.mashina.kg/tachka/images//4/0/d/40db90356ec8c6db5a797cdaed9a50bf_240x180.jpg
Volkswagen Vento,"седан, бензин",$ 2 893,https://im.mashina.kg/tachka/images//8/f/a/8fae1dd66243b2bd8076d16608657034_240x180.jpg
Toyota Camry,"седан, бензин",$ 26 500,https://im.mashina.kg/tachka/images//c/0/8/c08ed8cc3cf32229f4af5c0684b48cc9_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 31 000,https://im.mashina.kg/tachka/images//c/2/7/c2740e13e34db1028022edffdf5de5a5_240x180.jpg
BMW X5,"внедорожник 5 дв., дизель",$ 9 600,https://im.mashina.kg/tachka/images//2/7/b/27bc9f13661bbcdc6e748ad0bb2c1637_240x180.jpg
Kia K7,"седан, бензин",$ 15 800,https://im.mashina.kg/tachka/images//e/1/0/e107c1deec8fc79f6258b191899ae602_240x180.jpg
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 22 300,https://im.mashina.kg/tachka/images//d/d/5/dd5d4667308b1586769b49bbb0e63e2e_240x180.jpg
Mercedes-Benz E-класс,"седан, бензин",$ 9 500,https://im.mashina.kg/tachka/images//f/8/e/f8eaf1788b54972f341a8e666c9270ee_240x180.jpg
Hyundai Sonata,"седан, бензин",$ 13 000,https://im.mashina.kg/tachka/images//2/c/9/2c986f9d0d06e256770536b92a55268c_240x180.jpg
Mercedes-Benz S-класс,"седан, бензин",$ 14 200,https://im.mashina.kg/tachka/images//b/3/1/b319b0a0cad8a8d0d9a4b0ff99a9b9d5_240x180.jpg
Lexus LX,"внедорожник 5 дв., дизель",$ 80 000,https://im.mashina.kg/tachka/images//5/7/5/575bf9176b478b589138cbc3f949278a_240x180.jpg
Lexus GX,"внедорожник 5 дв., бензин",$ 61 000,https://im.mashina.kg/tachka/images//9/9/d/99df3302fafd2f694541fda45e5acdd8_240x180.jpg
BMW X7,"внедорожник 5 дв., бензин",$ 115 000,https://im.mashina.kg/tachka/images//3/f/9/3f9e1086a7a6028cfba884eb4143c3e9_240x180.jpg
Kia Sportage,"внедорожник 5 дв., дизель",$ 18 500,https://im.mashina.kg/tachka/images//f/7/3/f73bf0f11ab4078c4bf8a9abcb16b375_240x180.jpg
Toyota Estima,"минивэн, бензин",$ 11 900,https://im.mashina.kg/tachka/images//0/5/9/059fa6c2062d67044430900a8b27a38a_240x180.jpg
Toyota Avalon,"седан, гибрид",$ 25 500,https://im.mashina.kg/tachka/images//0/7/1/0719b76070175435828146a0905f2d61_240x180.jpg
Toyota Camry,"седан, бензин",$ 9 900,https://im.mashina.kg/tachka/images//9/f/2/9f2720aac23b2d1b2b6f3f61e8179170_240x180.jpg
Mercedes-Benz S-класс,"седан, бензин",$ 10 600,https://im.mashina.kg/tachka/images//b/9/3/b9394e4aee73ac74cbcb6d16f6940824_240x180.jpg
Kia Morning,"хэтчбек 5 дв., бензин / газ",$ 9 600,https://im.mashina.kg/tachka/images//2/8/a/28af4ed08ca3c6b8a1e5de734ff9562a_240x180.jpg
Lexus LX,"внедорожник 5 дв., бензин",$ 27 000,https://im.mashina.kg/tachka/images//0/5/f/05f0a254871a7fc20d25d16855744ce8_240x180.jpg
Hyundai Avante,"седан, бензин",$ 15 489,https://im.mashina.kg/tachka/images//5/3/9/539487ede4970425a27f45073ec53b8e_240x180.jpg
Tesla Model Y,"внедорожник 5 дв., электро",$ 91 000,https://im.mashina.kg/tachka/images//0/b/6/0b6cbe04629226e86722284c2cd053ac_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., гибрид",$ 41 500,https://im.mashina.kg/tachka/images//5/4/9/5495ddf13ee0806e8f1b8d3835b4942c_240x180.jpg
Hyundai Sonata,"седан, газ",$ 9 300,https://im.mashina.kg/tachka/images//8/8/7/887e13b7d0ebd183fd9775796b127884_240x180.jpg
Toyota Camry,"седан, бензин",$ 23 900,https://im.mashina.kg/tachka/images//3/d/e/3de5616d38b89f89ea473103f3e67598_240x180.jpg
Lexus NX,"внедорожник 5 дв., бензин",$ 42 500,https://im.mashina.kg/tachka/images//c/2/c/c2cec10832d7a0c694a3c8a2bbadda5a_240x180.jpg
Honda CR-V,"внедорожник 5 дв., бензин",$ 14 700,https://im.mashina.kg/tachka/images//1/a/d/1ade8ef8b7e16869063255490c73b7ce_240x180.jpg
Toyota Camry,"седан, бензин",$ 35 500,https://im.mashina.kg/tachka/images//b/d/5/bd543511b7f6bcce2fb68560f1c3ed9e_240x180.jpg
BMW 7 Серия,"седан, бензин",$ 205 000,https://im.mashina.kg/tachka/images//2/c/6/2c66d6fb8abcc593063f43be2152339b_240x180.jpg
BMW 7 Серия,"седан, бензин",$ 205 000,https://im.mashina.kg/tachka/images//2/c/6/2c66d6fb8abcc593063f43be2152339b_240x180.jpg
Subaru Outback,"универсал, бензин",$ 14 500,https://im.mashina.kg/tachka/images//8/c/2/8c2eb97c65244a3fd0043ace054a41dd_240x180.jpg
Toyota Crown,"седан, бензин",$ 10 500,https://im.mashina.kg/tachka/images//c/e/f/cef8492747a3e35275d6fb5087f486f1_240x180.jpg
Hyundai Sonata,"седан, газ",$ 14 500,https://im.mashina.kg/tachka/images//2/d/8/2d8a82dc778d79fc78c5a3c033473e6e_240x180.jpg
Lexus ES,"седан, гибрид",$ 45 000,https://im.mashina.kg/tachka/images//c/3/7/c37a237b935628797e39ab6ce99f0ea0_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., гибрид",$ 41 900,https://im.mashina.kg/tachka/images//e/d/b/edbfbd4357f2b710e03511d7b055a42c_240x180.jpg
Chevrolet Camaro,"купе, бензин",$ 32 000,https://im.mashina.kg/tachka/images//7/2/1/72137dca182617e07690a53c405dfa6d_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 26 500,https://im.mashina.kg/tachka/images//b/a/3/ba3732c28f7b74fa69104d6f5d4d8d1e_240x180.jpg
Hyundai Elantra,"седан, бензин",$ 8 500,https://im.mashina.kg/tachka/images//a/e/b/aeb96d46fadd0a092234dbbe6caee2fe_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 27 500,https://im.mashina.kg/tachka/images//e/3/8/e38637065e8acd48f12262337138ea07_240x180.jpg
Toyota Estima,"минивэн, бензин",$ 8 200,https://im.mashina.kg/tachka/images//a/d/b/adb5a50efb1833343a124223746cc3ad_240x180.jpg
Honda Stream,"компактвэн, бензин",$ 6 700,https://im.mashina.kg/tachka/images//e/b/7/eb78fb0eebb83d5ee2788b3be820c732_240x180.jpg
Lexus RX,"внедорожник 5 дв., гибрид",$ 19 300,https://im.mashina.kg/tachka/images//9/a/1/9a1867936a1020571f697b3ca418685e_240x180.jpg
Toyota Camry,"седан, бензин",$ 24 500,https://im.mashina.kg/tachka/images//4/6/c/46ce9076cd864e0b72917b45f0556e80_240x180.jpg
Subaru XV,"внедорожник 5 дв., бензин",$ 18 000,https://im.mashina.kg/tachka/images//5/a/8/5a8c12fc16e76faae6fb72840742713d_240x180.jpg
Peugeot 207,"кабриолет, бензин",$ 9 000,https://im.mashina.kg/tachka/images//c/c/3/cc36d70e8ede2ab69d0d4e655e87a6c3_240x180.jpg
Chrysler Sebring,"седан, бензин",$ 11 000,https://im.mashina.kg/tachka/images//8/9/2/8929ac6d36481cc1cdf88a06e28421e1_240x180.jpg
Toyota Camry,"седан, бензин",$ 23 000,https://im.mashina.kg/tachka/images//5/b/8/5b835062962feba66863c64d92319d27_240x180.jpg
Mercedes-Benz E-класс,"универсал, бензин",$ 8 999,https://im.mashina.kg/tachka/images//d/a/5/da5ee45111ff09691d37e8cf0b4fc20f_240x180.jpg
Kia Mohave (Borrego),"внедорожник 5 дв., дизель",$ 58 000,https://im.mashina.kg/tachka/images//9/8/9/989d42e57c9d4354805469fae1f0f08b_240x180.jpg
